		User-defined string

Warning: incorrect parameter Data alignment value (in Kbytes) (64),
must be not bigger than (64),
set to default value (64).
Current date/time: Tue Dec  3 03:33:34 2019

CPU frequency:    3.652 GHz
Number of CPUs: 64
Number of cores: 64
Number of threads: 64

Parameters are set to:

Number of tests                             : 1
Number of equations to solve (problem size) : 5000 
Leading dimension of array                  : 10000
Number of trials to run                     : 100  
Data alignment value (in Kbytes)            : 64   

Maximum memory requested that can be used = 400265536, at the size = 5000

============= Timing linear equation system solver =================

Size   LDA    Align. Time(s)    GFlops   Residual     Residual(norm)
5000   10000  64     0.868      96.0681  2.386025e-11 3.327120e-02
5000   10000  64     0.889      93.7893  2.386025e-11 3.327120e-02
5000   10000  64     0.903      92.3844  2.386025e-11 3.327120e-02
5000   10000  64     0.887      93.9867  2.386025e-11 3.327120e-02
5000   10000  64     0.901      92.5706  2.386025e-11 3.327120e-02
5000   10000  64     0.902      92.4789  2.386025e-11 3.327120e-02
5000   10000  64     0.909      91.6858  2.386025e-11 3.327120e-02
5000   10000  64     0.912      91.4151  2.386025e-11 3.327120e-02
5000   10000  64     0.892      93.5255  2.386025e-11 3.327120e-02
5000   10000  64     0.897      92.9946  2.386025e-11 3.327120e-02
5000   10000  64     0.891      93.6226  2.386025e-11 3.327120e-02
5000   10000  64     0.910      91.6333  2.386025e-11 3.327120e-02
5000   10000  64     0.913      91.2988  2.386025e-11 3.327120e-02
5000   10000  64     0.900      92.6872  2.386025e-11 3.327120e-02
5000   10000  64     0.887      93.9856  2.386025e-11 3.327120e-02
5000   10000  64     0.915      91.1425  2.386025e-11 3.327120e-02
5000   10000  64     0.884      94.2823  2.386025e-11 3.327120e-02
5000   10000  64     0.933      89.3760  2.386025e-11 3.327120e-02
5000   10000  64     0.901      92.5431  2.386025e-11 3.327120e-02
5000   10000  64     0.882      94.5553  2.386025e-11 3.327120e-02
5000   10000  64     0.899      92.7800  2.386025e-11 3.327120e-02
5000   10000  64     0.891      93.6134  2.386025e-11 3.327120e-02
5000   10000  64     0.931      89.5546  2.386025e-11 3.327120e-02
5000   10000  64     0.930      89.6634  2.386025e-11 3.327120e-02
5000   10000  64     0.932      89.4458  2.386025e-11 3.327120e-02
5000   10000  64     0.902      92.4605  2.386025e-11 3.327120e-02
5000   10000  64     0.910      91.6293  2.386025e-11 3.327120e-02
5000   10000  64     0.868      96.1177  2.386025e-11 3.327120e-02
5000   10000  64     0.912      91.3793  2.386025e-11 3.327120e-02
5000   10000  64     0.883      94.3819  2.386025e-11 3.327120e-02
5000   10000  64     0.906      92.0694  2.386025e-11 3.327120e-02
5000   10000  64     0.884      94.3289  2.386025e-11 3.327120e-02
5000   10000  64     0.883      94.4392  2.386025e-11 3.327120e-02
5000   10000  64     0.891      93.5451  2.386025e-11 3.327120e-02
5000   10000  64     0.908      91.8713  2.386025e-11 3.327120e-02
5000   10000  64     0.897      92.9748  2.386025e-11 3.327120e-02
5000   10000  64     0.927      89.9232  2.386025e-11 3.327120e-02
5000   10000  64     0.913      91.3305  2.386025e-11 3.327120e-02
5000   10000  64     0.885      94.2646  2.386025e-11 3.327120e-02
5000   10000  64     0.916      91.0567  2.386025e-11 3.327120e-02
5000   10000  64     0.904      92.2883  2.386025e-11 3.327120e-02
5000   10000  64     0.915      91.1237  2.386025e-11 3.327120e-02
5000   10000  64     0.912      91.4090  2.386025e-11 3.327120e-02
5000   10000  64     0.910      91.5984  2.386025e-11 3.327120e-02
5000   10000  64     0.878      94.9696  2.386025e-11 3.327120e-02
5000   10000  64     0.900      92.6288  2.386025e-11 3.327120e-02
5000   10000  64     0.892      93.4809  2.386025e-11 3.327120e-02
5000   10000  64     0.919      90.6947  2.386025e-11 3.327120e-02
5000   10000  64     0.890      93.6469  2.386025e-11 3.327120e-02
5000   10000  64     0.930      89.6190  2.386025e-11 3.327120e-02
5000   10000  64     0.891      93.5529  2.386025e-11 3.327120e-02
5000   10000  64     0.892      93.4494  2.386025e-11 3.327120e-02
5000   10000  64     0.894      93.3171  2.386025e-11 3.327120e-02
5000   10000  64     0.894      93.2520  2.386025e-11 3.327120e-02
5000   10000  64     0.898      92.8162  2.386025e-11 3.327120e-02
5000   10000  64     0.899      92.7303  2.386025e-11 3.327120e-02
5000   10000  64     0.884      94.3769  2.386025e-11 3.327120e-02

Performance Summary (GFlops)

Size   LDA    Align.  Average  Maximal
5000   10000  64      92.8361  98.6130 

End of tests

