        User-defined string

Warning: incorrect parameter Data alignment value (in Kbytes) (64),
must be not bigger than (64),
set to default value (64).
Current date/time: Tue Dec  3 02:54:56 2019

CPU frequency:    3.683 GHz
Number of CPUs: 64
Number of cores: 64
Number of threads: 64

Parameters are set to:

Number of tests                             : 1
Number of equations to solve (problem size) : 5000 
Leading dimension of array                  : 10000
Number of trials to run                     : 100  
Data alignment value (in Kbytes)            : 64   

Maximum memory requested that can be used = 400265536, at the size = 5000

============= Timing linear equation system solver =================

Size   LDA    Align. Time(s)    GFlops   Residual     Residual(norm)
5000   10000  64     0.896      93.0498  2.386025e-11 3.327120e-02
5000   10000  64     0.898      92.8763  2.386025e-11 3.327120e-02
5000   10000  64     0.905      92.1401  2.386025e-11 3.327120e-02
5000   10000  64     0.917      90.9571  2.386025e-11 3.327120e-02
5000   10000  64     0.899      92.8028  2.386025e-11 3.327120e-02
5000   10000  64     0.907      91.9514  2.386025e-11 3.327120e-02
5000   10000  64     0.887      94.0115  2.386025e-11 3.327120e-02
5000   10000  64     0.910      91.6332  2.386025e-11 3.327120e-02
5000   10000  64     0.912      91.4253  2.386025e-11 3.327120e-02
5000   10000  64     0.899      92.7252  2.386025e-11 3.327120e-02
5000   10000  64     0.914      91.2432  2.386025e-11 3.327120e-02
5000   10000  64     0.901      92.5912  2.386025e-11 3.327120e-02
5000   10000  64     0.913      91.2957  2.386025e-11 3.327120e-02
5000   10000  64     0.897      92.9244  2.386025e-11 3.327120e-02
5000   10000  64     0.908      91.8309  2.386025e-11 3.327120e-02
5000   10000  64     0.908      91.8038  2.386025e-11 3.327120e-02
5000   10000  64     0.895      93.1910  2.386025e-11 3.327120e-02
5000   10000  64     0.897      92.9633  2.386025e-11 3.327120e-02
5000   10000  64     0.866      96.2783  2.386025e-11 3.327120e-02
5000   10000  64     0.909      91.7566  2.386025e-11 3.327120e-02
5000   10000  64     0.910      91.6027  2.386025e-11 3.327120e-02
5000   10000  64     0.898      92.8171  2.386025e-11 3.327120e-02
5000   10000  64     0.907      91.9644  2.386025e-11 3.327120e-02
5000   10000  64     0.880      94.7173  2.386025e-11 3.327120e-02
5000   10000  64     0.901      92.5947  2.386025e-11 3.327120e-02
5000   10000  64     0.927      89.9283  2.386025e-11 3.327120e-02
5000   10000  64     0.910      91.6064  2.386025e-11 3.327120e-02
5000   10000  64     0.923      90.3269  2.386025e-11 3.327120e-02
5000   10000  64     0.913      91.3311  2.386025e-11 3.327120e-02
5000   10000  64     0.935      89.1403  2.386025e-11 3.327120e-02
5000   10000  64     0.905      92.1545  2.386025e-11 3.327120e-02
5000   10000  64     0.892      93.4872  2.386025e-11 3.327120e-02
5000   10000  64     0.903      92.3093  2.386025e-11 3.327120e-02
5000   10000  64     0.884      94.3686  2.386025e-11 3.327120e-02
5000   10000  64     0.918      90.8701  2.386025e-11 3.327120e-02
5000   10000  64     0.917      90.9052  2.386025e-11 3.327120e-02
5000   10000  64     0.894      93.2434  2.386025e-11 3.327120e-02
5000   10000  64     0.911      91.5476  2.386025e-11 3.327120e-02
5000   10000  64     0.908      91.8671  2.386025e-11 3.327120e-02
5000   10000  64     0.916      91.0440  2.386025e-11 3.327120e-02
5000   10000  64     0.924      90.2471  2.386025e-11 3.327120e-02
5000   10000  64     0.910      91.6555  2.386025e-11 3.327120e-02
5000   10000  64     0.909      91.7098  2.386025e-11 3.327120e-02
5000   10000  64     0.898      92.8204  2.386025e-11 3.327120e-02
5000   10000  64     0.906      91.9888  2.386025e-11 3.327120e-02
5000   10000  64     0.912      91.4231  2.386025e-11 3.327120e-02
5000   10000  64     0.909      91.7072  2.386025e-11 3.327120e-02
5000   10000  64     0.927      89.9143  2.386025e-11 3.327120e-02
5000   10000  64     0.928      89.8605  2.386025e-11 3.327120e-02
5000   10000  64     0.907      91.9605  2.386025e-11 3.327120e-02
5000   10000  64     0.922      90.4770  2.386025e-11 3.327120e-02
5000   10000  64     0.917      90.9585  2.386025e-11 3.327120e-02
5000   10000  64     0.908      91.8715  2.386025e-11 3.327120e-02
5000   10000  64     0.913      91.3322  2.386025e-11 3.327120e-02
5000   10000  64     0.924      90.2068  2.386025e-11 3.327120e-02
5000   10000  64     0.933      89.3254  2.386025e-11 3.327120e-02

Performance Summary (GFlops)

Size   LDA    Align.  Average  Maximal
5000   10000  64      91.8466  96.2783 

End of tests

